loan_status,gender,income,home_ownership,loan_amount,loan_interest_rate,previous_loan
Approved,female,71948,RENT,35000,16.02,No
Declined,female,12282,OWN,1000,11.14,Yes
Approved,female,12438,MORTGAGE,5500,12.87,No
Approved,female,79753,RENT,35000,15.23,No
Approved,male,66135,RENT,35000,14.27,No
Approved,female,12951,OWN,2500,7.14,No
Approved,female,93471,RENT,35000,12.42,No
Approved,female,95550,RENT,35000,11.11,No
Approved,female,100684,RENT,35000,8.9,No
Approved,female,12739,OWN,1600,14.74,No
Approved,female,102985,RENT,35000,10.37,No
Approved,female,13113,OWN,4500,8.63,No
Approved,male,114860,RENT,35000,7.9,No
Approved,male,130713,RENT,35000,18.39,No
Declined,female,138998,RENT,35000,7.9,No
Declined,female,600891,MORTGAGE,30000,10.65,Yes
Declined,male,144943,RENT,35000,7.9,No
Approved,female,111369,RENT,35000,20,No
Approved,male,136628,RENT,35000,18.25,No
Approved,female,14283,MORTGAGE,1750,10.99,No
Declined,male,195718,RENT,35000,7.49,Yes
Declined,male,165792,RENT,34800,16.77,No
Approved,female,79255,RENT,34000,17.58,No
Declined,female,13866,OWN,1500,7.29,Yes
Approved,male,97420,RENT,33950,14.54,No
Approved,female,82443,RENT,33000,12.68,No
Approved,female,14288,MORTGAGE,4575,17.74,No
Declined,male,14293,OWN,1400,9.32,No
Approved,female,79054,RENT,32500,9.99,No
Approved,female,14988,OTHER,4000,12.84,No
Approved,male,14858,OWN,2000,11.12,No
Declined,male,144855,RENT,32000,6.62,Yes
Approved,male,114645,RENT,31050,14.17,No
Declined,female,368115,RENT,24250,13.85,Yes
Declined,female,361076,MORTGAGE,7800,13.49,No
Approved,male,15150,OWN,2500,7.51,No
Approved,female,58868,RENT,30000,18.39,No
Approved,male,78026,RENT,30000,14.54,No
Approved,male,90785,RENT,30000,16.89,No
Approved,female,86811,RENT,30000,11.01,No
Approved,male,75503,RENT,30000,17.99,No
Approved,female,15082,OWN,2500,12.69,No
Declined,male,361293,MORTGAGE,20000,7.88,Yes
Declined,male,361547,OWN,24250,19.41,Yes
Declined,male,360680,OWN,10000,10.38,No
Declined,male,360977,MORTGAGE,25000,15.33,Yes
Declined,female,361244,MORTGAGE,18000,16.45,No
Approved,male,98230,RENT,30000,7.49,No
Approved,female,80838,RENT,30000,12.69,No
Approved,male,107957,RENT,30000,6.62,No
Approved,female,94649,RENT,30000,11.01,No
Approved,male,94550,RENT,30000,18.62,No
Approved,male,111153,RENT,30000,15.23,No
Approved,female,117250,RENT,30000,10.65,No
Declined,male,144985,RENT,30000,7.9,No
Declined,male,337133,RENT,10000,15.96,Yes
Declined,male,333566,RENT,20000,11.48,Yes
Declined,male,333399,OWN,35000,11.01,No
Declined,male,154793,RENT,30000,7.29,Yes
Declined,male,15229,OWN,1750,11.01,Yes
Declined,female,158338,RENT,30000,5.99,Yes
Declined,female,331034,OWN,12000,11.58,Yes
Approved,female,316466,MORTGAGE,10000,11.01,No
Approved,female,267671,MORTGAGE,25000,15.7,No
Approved,male,85191,RENT,29100,15.99,No
Declined,male,15013,MORTGAGE,1500,14.84,No
Declined,male,313100,OWN,28000,10.99,Yes
Declined,female,311952,MORTGAGE,20000,14.42,Yes
Declined,male,306897,MORTGAGE,9600,6.99,Yes
Declined,female,301136,RENT,25000,13.49,Yes
Approved,male,15162,OWN,3000,11.01,No
Approved,male,69042,RENT,28000,11.01,No
Approved,female,15307,OWN,3000,13.61,No
Approved,female,79183,RENT,28000,7.9,No
Approved,male,102654,RENT,28000,7.49,No
Approved,male,15229,OWN,6100,7.51,No
Approved,male,106566,RENT,28000,9.91,No
Approved,female,15252,OWN,4200,13.48,No
Approved,male,15432,OWN,4750,7.14,No
Approved,male,100332,RENT,28000,15.99,No
Declined,male,300951,RENT,18000,12.98,No
Declined,male,300616,RENT,4800,13.57,No
Declined,female,121062,RENT,28000,12.69,No
Declined,male,133372,RENT,28000,8.9,Yes
Approved,male,15505,OWN,2700,11.01,No
Approved,male,130852,RENT,28000,11.01,No
Declined,male,182316,RENT,28000,11.11,Yes
Approved,female,83853,RENT,27600,11.01,No
Approved,female,15394,MORTGAGE,3250,15.68,No
Approved,female,85243,RENT,27500,13.06,No
Declined,male,288907,OWN,25000,11.01,Yes
Approved,male,89074,RENT,27050,15.62,No
Approved,male,100509,RENT,27000,13.49,No
Approved,male,88950,RENT,27000,11.01,No
Approved,female,75894,RENT,26000,11.71,No
Declined,male,145092,RENT,25600,12.69,Yes
Declined,female,15928,OWN,1600,13.57,Yes
Approved,male,73131,RENT,25475,10.99,No
Declined,male,281501,MORTGAGE,20000,14.27,Yes
Declined,female,281775,OWN,20000,8.88,Yes
Declined,male,281792,MORTGAGE,21600,12.18,Yes
Approved,male,266090,MORTGAGE,11900,14.42,No
Declined,male,279664,MORTGAGE,25000,14.17,Yes
Declined,female,277017,MORTGAGE,35000,13.99,Yes
Approved,male,100756,RENT,25300,10.99,No
Approved,male,16218,MORTGAGE,2000,5.42,No
Declined,female,16211,OWN,1750,13.61,Yes
Approved,female,51922,RENT,25000,12.73,No
Approved,male,50309,RENT,25000,11.01,No
Approved,male,16378,OWN,3000,12.87,No
Approved,male,16572,MORTGAGE,3650,9.91,No
Declined,male,272201,MORTGAGE,20000,11.49,Yes
Declined,female,271324,MORTGAGE,30000,19.91,Yes
Approved,male,256862,MORTGAGE,35000,10.65,No
Declined,male,271342,RENT,6000,11.01,Yes
Approved,male,16470,MORTGAGE,4500,11.83,No
Approved,male,16599,OWN,2400,13.49,No
Approved,male,51608,RENT,25000,14.59,No
Approved,female,58516,RENT,25000,9.64,No
Approved,female,16395,OWN,3600,14.59,No
Approved,female,16890,OWN,4750,11.01,No
Approved,female,51747,RENT,25000,16.35,No
Approved,male,59864,RENT,25000,10.99,No
Declined,male,270972,MORTGAGE,25000,18.67,Yes
Declined,male,270870,RENT,3000,9.32,No
Declined,female,270729,RENT,7500,8.63,No
Declined,male,270877,MORTGAGE,25000,10.08,Yes
Approved,male,60501,RENT,25000,11.83,No
Approved,male,60754,RENT,25000,7.9,No
Approved,male,60829,RENT,25000,5.99,No
Approved,male,53825,RENT,25000,15.33,No
Approved,male,60801,RENT,25000,11.83,No
Approved,male,60747,RENT,25000,10.36,No
Approved,female,61029,RENT,25000,12.23,No
Approved,female,63236,RENT,25000,11.11,No
Approved,female,17149,OWN,4950,7.9,No
Declined,female,265066,MORTGAGE,25000,11.58,Yes
Declined,male,260205,MORTGAGE,21000,8.9,No
Declined,female,260035,MORTGAGE,25000,16.07,Yes
Declined,female,260444,MORTGAGE,20000,14.22,No
Declined,male,258980,MORTGAGE,35000,14.79,Yes
Declined,male,259081,MORTGAGE,12000,7.88,Yes
Approved,male,63497,RENT,25000,13.22,No
Approved,female,56325,RENT,25000,11.86,No
Approved,male,64842,RENT,25000,13.43,No
Approved,female,57856,RENT,25000,15.28,No
Approved,male,57318,RENT,25000,17.93,No
Declined,female,16916,MORTGAGE,1400,9.25,No
Approved,male,16664,OWN,4500,12.98,No
Declined,male,252803,MORTGAGE,16000,10.62,Yes
Declined,female,253061,OWN,22000,11.83,Yes
Approved,male,58602,RENT,25000,18.43,No
Approved,male,67012,RENT,25000,11.01,No
Approved,female,66643,RENT,25000,11.01,No
Approved,male,66599,RENT,25000,11.36,No
Approved,male,67212,RENT,25000,15.65,No
Approved,female,66918,RENT,25000,13.22,No
Approved,male,68066,RENT,25000,12.87,No
Declined,male,245545,OWN,20000,13.04,Yes
Approved,male,229083,MORTGAGE,22000,17.58,No
Approved,male,17859,OWN,7750,17.04,No
Approved,female,72608,RENT,25000,10.99,No
Approved,male,73073,RENT,25000,11.11,No
Approved,female,65880,RENT,25000,14.83,No
Approved,male,17755,OWN,4000,11.01,No
Declined,male,241180,RENT,12000,12.69,No
Declined,male,240894,MORTGAGE,12000,13.49,No
Declined,male,240980,MORTGAGE,16000,14.65,Yes
Approved,male,65742,RENT,25000,16.82,No
Approved,male,72713,RENT,25000,12.73,No
Approved,male,72627,RENT,25000,10.25,No
Approved,male,72843,RENT,25000,10.99,No
Approved,male,75504,RENT,25000,12.73,No
Approved,female,68824,RENT,25000,14.96,No
